detector-Id,latitude,longitude,detector-type,lane-id,lane-name
CBDS61 - I-80 EB @ I-29 West Sys,41232289,-95890984,Microwave Radar,3,CBDS61-EB EN
CBDS61 - I-80 EB @ I-29 West Sys,41232289,-95890984,Microwave Radar,2,CBDS61-EB RL
CBDS35 - I-29 NB @ I-480 WB Off ,41258956,-95906922,Microwave Radar,2,CBDS35-NB RL
CBDS35 - I-29 NB @ I-480 WB Off ,41258956,-95906922,Microwave Radar,1,CBDS35-NB LL
CBDS38 - I-29 SB Off Ramp @ I-48,41267202,-95908728,Microwave Radar,1,CBDS38-SB EX
CBDS50 - I-29 NB On Ramp @ Co Rd,41359381,-95900926,Microwave Radar,1,CBDS50-NB EN
CBDS50 - I-29 SB Off Ramp @ I-68,41359458,-95901540,Microwave Radar,1,CBDS50-SB EX
CBDS71 - I-80 EB Off Ramp @ I-29,41232671,-95896007,Inductive Loop,1,CBDS71-EB EX
CBDS49 - I-680 WB Off Ramp @ I-2,41354542,-95901076,Microwave Radar,1,CBDS49-WB EX
CBDS49 - I-680 EB On Ramp @ I-29,41353990,-95900818,Microwave Radar,1,CBDS49-EB EN
CBDS31 - I-29 SB On Ramp @ Nebra,41242303,-95905480,Microwave Radar,1,CBDS31-SB EN
CBDS31 - I-29 NB Off Ramp @ Nebr,41242588,-95904893,Microwave Radar,1,CBDS31-NB EX
CBDS73 - I-29 SB @ I-80 EB West ,41232190,-95890954,Microwave Radar,1,CBDS73-SB LL
CBDS73 - I-29 SB @ I-80 EB West ,41232190,-95890954,Microwave Radar,2,CBDS73-SB RL
CBDS73 - I-80 EB Off Ramp @ to S,41231947,-95890917,Microwave Radar,1,CBDS73-EB EX
CBDS74 - I-80 EB @ West of S 24t,41232330,-95884875,Microwave Radar,3,CBDS74-EB RL
CBDS74 - I-80 EB @ West of S 24t,41232330,-95884875,Microwave Radar,1,CBDS74-EB LL
CBDS75 - I-29 NB On Ramp @ I-80 ,41238401,-95900804,Microwave Radar,1,CBDS75-NB EN
CBDS75 - I-29 NB @ I-80 EB On Ra,41238328,-95900999,Microwave Radar,2,CBDS75-NB RL
CBDS75 - I-29 NB @ I-80 EB On Ra,41238328,-95900999,Microwave Radar,1,CBDS75-NB LL
CBDS76 - I-29 SB Off Ramp @ US 2,41220223,-95832280,Microwave Radar,1,CBDS76-SB EX
CBDS76 - I-29 SB @ US 275,41220346,-95832021,Microwave Radar,2,CBDS76-SB RL
CBDS76 - I-29 SB @ US 275,41220346,-95832021,Microwave Radar,1,CBDS76-SB LL
CBDS76 - I-29 NB @ US 275,41220513,-95831730,Microwave Radar,1,CBDS76-NB LL
CBDS76 - I-29 NB @ US 275,41220513,-95831730,Microwave Radar,2,CBDS76-NB RL
CBDS79 - I-80 WB EXP @ S Expway ,41232397,-95851999,Microwave Radar,3,CBDS79-WB RL
CBDS79 - I-80 WB EXP @ S Expway ,41232397,-95851999,Microwave Radar,2,CBDS79-WB CL
CBDS79 - I-80 WB EXP @ S Expway ,41232397,-95851999,Microwave Radar,1,CBDS79-WB LL
CBDS79 - I-29/80 NB Off Ramp @ S,41232931,-95851981,Microwave Radar,1,CBDS79-NB EX
CBDS81 - I-80 WB Off Ramp @ I-29,41230891,-95840725,Microwave Radar,1,CBDS81-WB EX
CBDS82 - I-80 WB @ West of Madis,41237685,-95826149,Microwave Radar,3,CBDS82-WB EN
CBDS82 - I-80 WB @ West of Madis,41237685,-95826149,Microwave Radar,2,CBDS82-WB RL
CBDS82 - I-80 EB @ West of Madis,41237607,-95825733,Microwave Radar,1,CBDS82-WB LL
CBDS82 - I-80 EB @ West of Madis,41237607,-95825733,Microwave Radar,1,CBDS82-EB LL
CBDS78 - I-80 WB EXP @ West of S,41232362,-95858744,Microwave Radar,3,CBDS78-WB RL
CBDS78 - I-80 WB EXP @ West of S,41232362,-95858744,Microwave Radar,2,CBDS78-WB CL
CBDS78 - I-80 WB EXP @ West of S,41232362,-95858744,Microwave Radar,1,CBDS78-WB LL
CBDS78 - I-29/80 NB On Ramp @ S ,41232688,-95858756,Microwave Radar,1,CBDS78-NB EN
CBDS80 - I-80 WB Off Ramp @ I-29,41232996,-95844728,Microwave Radar,1,CBDS80-WB EX 80
CBDS72 - I-80 EB @ S 24th St Off,41232215,-95901154,Microwave Radar,4,CBDS72-EB RL
CBDS72 - I-80 EB @ S 24th St Off,41232215,-95901154,Microwave Radar,2,CBDS72-EB CL LL
CBDS72 - I-80 EB @ S 24th St Off,41232215,-95901154,Microwave Radar,3,CBDS72-EB CL RL
CBDS72 - I-80 EB @ S 24th St Off,41232215,-95901154,Microwave Radar,1,CBDS72-EB LL
CBDS72 - I-80 WB @ I-29 West Sys,41232487,-95901223,Microwave Radar,1,CBDS72-WB LL
CBDS72 - I-80 WB @ I-29 West Sys,41232487,-95901223,Microwave Radar,3,CBDS72-WB RL
CBDS72 - I-80 WB @ I-29 West Sys,41232487,-95901223,Microwave Radar,2,CBDS72-WB CL
CBDS25 - I-80 WB Off Ramp @ US 6,41283215,-95783023,Microwave Radar,1,CBDS25-WB EX
CBDS34 - I-29 NB On Ramp @ 9th A,41256999,-95906538,Microwave Radar,1,CBDS34-NB EN
CBDS34 - I-29 SB Off Ramp @ 9th ,41256999,-95907166,Microwave Radar,1,CBDS34-SB EX
CBDS40 - I-29 SB Off Ramp @ Ave ,41270130,-95906226,Microwave Radar,1,CBDS40-SB EX
CBDS41 - I-29 NB On Ramp @ N 35t,41272346,-95898238,Microwave Radar,1,CBDS41-NB EN
CBDS42 - I-29 SB On Ramp @ N 25t,41275353,-95885513,Microwave Radar,1,CBDS42-SB EN
CBDS72 - I-80 EB Off Ramp @ to S,41231947,-95901185,Microwave Radar,2,CBDS72-EB EX RL
CBDS72 - I-80 EB Off Ramp @ to S,41231947,-95901185,Microwave Radar,1,CBDS72-EB EX LL
CBDS61 - I-29/80 NB Off Ramp @ I,41233012,-95891005,Microwave Radar,2,CBDS61-WB EN RL
CBDS61 - I-29/80 NB Off Ramp @ I,41233012,-95891005,Microwave Radar,1,CBDS61-WB EN LL
